date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:46	26462/26462	---M--	200	added ('OK')	image/jpeg	etag:%221b015db-675e-594417c5fee00%22	http://shrihariinfo.com/img/teamnest.jpg	E:/watch/new/shrihariinfo.com/img/teamnest.jpg	(from http://shrihariinfo.com/)
19:40:46	3264/3264	---M--	200	added ('OK')	image/png	etag:%221b015d1-cc0-5944199b34100%22	http://shrihariinfo.com/img/atg.png	E:/watch/new/shrihariinfo.com/img/atg.png	(from http://shrihariinfo.com/)
19:40:47	7006/7006	---M--	200	added ('OK')	image/png	etag:%221b015d9-1b5e-594419e967980%22	http://shrihariinfo.com/img/teamnest.png	E:/watch/new/shrihariinfo.com/img/teamnest.png	(from http://shrihariinfo.com/)
19:40:48	3756/3756	---M--	200	added ('OK')	image/png	etag:%221b015e5-eac-59441a6d03000%22	http://shrihariinfo.com/img/dreamscope.png	E:/watch/new/shrihariinfo.com/img/dreamscope.png	(from http://shrihariinfo.com/)
19:40:48	4116/4116	---M--	200	added ('OK')	image/png	etag:%221b01585-1014-59441aa453280%22	http://shrihariinfo.com/img/appily.png	E:/watch/new/shrihariinfo.com/img/appily.png	(from http://shrihariinfo.com/)
19:40:49	4245/4245	---M--	200	added ('OK')	image/png	etag:%221b015a5-1095-59441bec63880%22	http://shrihariinfo.com/img/digicafe.png	E:/watch/new/shrihariinfo.com/img/digicafe.png	(from http://shrihariinfo.com/)
19:40:49	5105/5105	---M--	200	added ('OK')	image/png	etag:%221b01607-13f1-59441e3f7b480%22	http://shrihariinfo.com/img/cliometrics.png	E:/watch/new/shrihariinfo.com/img/cliometrics.png	(from http://shrihariinfo.com/)
19:40:50	31711/31711	---M-Z	200	added ('OK')	text/html	etag:%221b014d7-7bdf-5ee23452c2765-gzip%22	http://shrihariinfo.com/index.html	E:/watch/new/shrihariinfo.com/index-2.html	(from http://shrihariinfo.com/)
19:40:53	7158/7158	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2028%20Oct%202022%2010:31:30%20GMT	https://uncommonboise.com/js/jquery.maskedinput-1.2.2.js	E:/watch/new/uncommonboise.com/js/jquery.maskedinput-1.2.2.js	(from http://shrihariinfo.com/)
19:40:55	8172/8172	---M-Z	200	added ('OK')	application/javascript	etag:%221b01580-1fec-5ed7cccb9a780-gzip%22	http://shrihariinfo.com/js/scripts.js	E:/watch/new/shrihariinfo.com/js/scripts.js	(from http://shrihariinfo.com/)
19:41:11	98640/98640	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01620-18150-57f81bfdd1880%22	http://shrihariinfo.com/fonts/fa-brands-400.eot	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400.eot	(from http://shrihariinfo.com/css/plugins.css)
19:41:12	54468/54468	---M--	200	added ('OK')	font/woff2	etag:%221b0162e-d4c4-57f81c7412f80%22	http://shrihariinfo.com/fonts/fa-brands-400.woff2	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400.woff2	(from http://shrihariinfo.com/css/plugins.css)
19:41:15	98640/98640	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01614-18150-57f81bfdd1880%22	http://shrihariinfo.com/fonts/fa-brands-400d41d.eot?	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400d41dd41d.eot	(from http://shrihariinfo.com/css/plugins.css)
19:41:19	1155449/1155449	---MCZ	200	added ('OK')	application/javascript	etag:%221b0157d-11a179-57f87ef709a80-gzip%22	http://shrihariinfo.com/js/jQuery-plugins.js	E:/watch/new/shrihariinfo.com/js/jQuery-plugins.js	(from http://shrihariinfo.com/)
19:41:23	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01634-79b4-57f81c9297780%22	http://shrihariinfo.com/fonts/fa-regular-400.eot	E:/watch/new/shrihariinfo.com/fonts/fa-regular-400.eot	(from http://shrihariinfo.com/css/plugins.css)
19:41:29	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01622-79b4-57f81c9297780%22	http://shrihariinfo.com/fonts/fa-regular-400d41d.eot?	E:/watch/new/shrihariinfo.com/fonts/fa-regular-400d41dd41d.eot	(from http://shrihariinfo.com/css/plugins.css)
19:41:31	98404/98404	---M--	200	added ('OK')	font/ttf	etag:%221b01632-18064-57f81c51bde80%22	http://shrihariinfo.com/fonts/fa-brands-400.ttf	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400.ttf	(from http://shrihariinfo.com/css/plugins.css)
19:41:51	63728/63728	---M--	200	added ('OK')	font/woff	etag:%221b01630-f8f0-57f81c6100280%22	http://shrihariinfo.com/fonts/fa-brands-400.woff	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400.woff	(from http://shrihariinfo.com/css/plugins.css)
19:41:57	30928/30928	---M--	200	added ('OK')	font/ttf	etag:%221b01628-78d0-57f81cf1f5880%22	http://shrihariinfo.com/fonts/fa-regular-400.ttf	E:/watch/new/shrihariinfo.com/fonts/fa-regular-400.ttf	(from http://shrihariinfo.com/css/plugins.css)
19:42:06	107201/107201	---M--	200	added ('OK')	image/svg+xml	etag:%221b01611-1a2c1-57f81cee24f80%22	http://shrihariinfo.com/fonts/fa-regular-400.svg	E:/watch/new/shrihariinfo.com/fonts/fa-regular-400.svg	(from http://shrihariinfo.com/css/plugins.css)
19:42:38	106004/106004	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b0161a-19e14-57f81d06f0a00%22	http://shrihariinfo.com/fonts/fa-solid-900.eot	E:/watch/new/shrihariinfo.com/fonts/fa-solid-900.eot	(from http://shrihariinfo.com/css/plugins.css)
19:42:50	507628/507628	---M--	200	added ('OK')	image/svg+xml	etag:%221b0161c-7beec-57f81c2f68d80%22	http://shrihariinfo.com/fonts/fa-brands-400.svg	E:/watch/new/shrihariinfo.com/fonts/fa-brands-400.svg	(from http://shrihariinfo.com/css/plugins.css)
19:42:55	106004/106004	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01618-19e14-57f81d06f0a00%22	http://shrihariinfo.com/fonts/fa-solid-900d41d.eot?	E:/watch/new/shrihariinfo.com/fonts/fa-solid-900d41dd41d.eot	(from http://shrihariinfo.com/css/plugins.css)
19:43:01	50524/50524	---M--	200	added ('OK')	font/woff	etag:%221b01626-c55c-57f81d43f9a00%22	http://shrihariinfo.com/fonts/fa-solid-900.woff	E:/watch/new/shrihariinfo.com/fonts/fa-solid-900.woff	(from http://shrihariinfo.com/css/plugins.css)
19:43:02	40244/40244	---M--	200	added ('OK')	font/woff2	etag:%221b0162c-9d34-57f81d4b9ac00%22	http://shrihariinfo.com/fonts/fa-solid-900.woff2	E:/watch/new/shrihariinfo.com/fonts/fa-solid-900.woff2	(from http://shrihariinfo.com/css/plugins.css)
19:43:04	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:13:03%20GMT	http://shrihariinfo.com/webfonts/fa-solid-900.html	E:/watch/new/shrihariinfo.com/webfonts/fa-solid-900.26.delayed	(from http://shrihariinfo.com/css/plugins.css)
19:43:47	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:13:47%20GMT	http://shrihariinfo.com/css/owl.video.play.html	E:/watch/new/shrihariinfo.com/css/owl.video.play.28.delayed	(from http://shrihariinfo.com/css/plugins.css)
19:44:08	107764/107764	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b01641-1a4f4-57f820130ba80%22	http://shrihariinfo.com/fonts/font/Quicksand-Bold.eot	E:/watch/new/shrihariinfo.com/fonts/font/Quicksand-Bold.eot	(from http://shrihariinfo.com/css/style.css?t=35)
19:44:26	106672/106672	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221b0163f-1a0b0-57f820613f300%22	http://shrihariinfo.com/fonts/font/Quicksand-Medium.eot	E:/watch/new/shrihariinfo.com/fonts/font/Quicksand-Medium.eot	(from http://shrihariinfo.com/css/style.css?t=35)
19:44:57	109260/109260	---M--	200	added ('OK')	font/woff	etag:%221b0163b-1aacc-57f82123cbe00%22	http://shrihariinfo.com/fonts/font/Quicksand-Medium.woff	E:/watch/new/shrihariinfo.com/fonts/font/Quicksand-Medium.woff	(from http://shrihariinfo.com/css/style.css?t=35)
19:44:58	107584/107584	---M--	200	added ('OK')	font/ttf	etag:%221b01636-1a440-57f8203d01d80%22	http://shrihariinfo.com/fonts/font/Quicksand-Bold.ttf	E:/watch/new/shrihariinfo.com/fonts/font/Quicksand-Bold.ttf	(from http://shrihariinfo.com/css/style.css?t=35)
